-6.527	-0.839	-0.682	-0.068	-0.047	-0.053	 0.005	-0.000
-1.182	 2.254	-0.286	-0.037	 0.041	-0.040	 0.002	-0.001
 6.986	 0.363	-0.505	 0.086	 0.119	-0.158	 0.023	-0.000
-3.279	-0.004	-0.056	-0.096	 0.007	-0.027	 0.005	-0.001
-3.494	 3.061	-0.574	-0.046	-0.003	-0.047	 0.002	-0.000
 2.106	-0.179	 2.430	-0.002	 0.010	-0.002	 0.000	-0.000
 5.516	 0.011	-1.100	 0.073	 0.065	-0.047	 0.006	-0.000
-8.314	 0.844	 2.304	-0.110	 0.011	-0.045	 0.007	-0.000
11.284	-0.345	-0.110	 0.147	 0.006	-0.103	 0.016	-0.000
 5.032	-0.488	-0.933	 0.078	-0.145	-0.130	 0.022	-0.000
-13.278	 0.013	-0.230	-0.192	-0.011	-0.193	 0.037	-0.000
-13.408	-0.002	 0.099	-0.198	-0.032	-0.020	 0.020	-0.000
-7.937	 2.481	 0.501	-0.120	 0.010	-0.122	 0.015	-0.000
 8.882	-0.807	 0.986	 0.124	 0.235	 0.315	 0.085	-0.000
-5.408	 1.203	-0.941	-0.114	 0.080	-0.187	 0.027	-0.000
 4.612	 0.202	-0.028	 0.118	 0.231	-0.150	 0.045	-0.000
 1.229	-1.902	 2.466	-0.007	-0.004	-0.005	 0.000	-0.000
-1.435	-0.756	-3.133	-0.018	-0.012	-0.025	 0.001	-0.001
11.251	 0.017	-0.073	 0.210	-0.028	-0.294	 0.066	-0.000
-3.156	-1.337	 2.308	-0.038	-0.013	-0.026	 0.001	-0.000
-6.943	 1.218	 0.726	-0.138	 0.178	-0.073	 0.028	-0.000
-3.414	 0.193	 1.643	-0.077	 0.100	 0.004	 0.008	-0.000
-15.898	-0.373	 0.240	-0.213	-0.413	 0.327	 0.161	-0.000
-9.027	-0.964	 0.966	-0.150	-0.107	-0.127	 0.025	-0.000
-12.443	 0.369	-0.087	-0.167	 0.194	 0.221	 0.057	-0.000
 0.776	-2.357	 2.029	-0.006	-0.009	-0.002	 0.000	-0.000
-6.171	-0.044	-2.169	-0.082	 0.029	-0.119	 0.011	-0.000
-4.471	 0.056	 1.733	-0.026	-0.013	-0.015	 0.001	-0.000
 8.614	 0.275	 0.839	 0.129	 0.256	 0.442	 0.139	-0.000
11.595	-0.675	-0.298	 0.177	-0.489	-0.050	 0.136	-0.000
-3.548	-2.064	-0.081	-0.071	-0.126	-0.084	 0.014	-0.000
 5.413	-0.323	-1.205	 0.065	 0.160	-0.190	 0.033	-0.000
20.481	 0.039	 0.464	 0.280	-0.018	 0.428	 0.131	-0.000
-12.172	-0.675	 1.241	-0.185	 0.141	-0.001	 0.027	-0.000
-0.128	 3.456	-0.119	-0.009	 0.010	-0.010	 0.000	-0.000
-4.538	 0.336	-1.376	-0.077	 0.128	-0.200	 0.031	-0.000
-3.484	 0.562	-1.713	-0.006	-0.004	-0.005	 0.000	-0.000
-1.427	 0.542	-1.330	-0.118	 0.200	-0.617	 0.217	-0.002
 1.323	-2.400	-1.478	-0.006	-0.008	-0.022	 0.000	-0.001
-3.392	 0.026	 2.230	-0.069	 0.048	-0.033	 0.004	-0.000
 1.315	 0.520	-2.927	-0.009	 0.006	-0.022	 0.000	-0.000
-1.218	 1.494	-2.843	-0.033	-0.009	-0.051	 0.002	-0.001
-2.530	 1.933	-0.020	-0.079	 0.012	-0.088	 0.007	-0.000
-8.726	-0.342	-0.266	-0.123	-0.617	-0.248	 0.229	-0.000
16.918	-0.579	-0.594	 0.269	 0.015	 0.070	 0.039	-0.000
-1.475	 0.806	 1.008	-0.168	 0.133	 0.109	 0.029	-0.001
-1.194	-1.285	-0.787	-0.040	-0.250	-0.325	 0.085	-0.003
10.279	 0.663	-0.302	 0.142	 0.432	-0.126	 0.111	-0.000
-4.899	-0.940	-1.906	-0.061	 0.061	-0.077	 0.007	-0.000
-20.936	-0.163	-0.180	-0.286	-0.095	-0.125	 0.053	-0.000
-4.162	 0.572	 0.894	-0.048	 0.088	 0.027	 0.005	-0.000
11.057	-0.009	 0.558	 0.146	 0.041	 0.338	 0.069	-0.000
16.603	-0.102	-0.812	 0.253	 0.132	-0.211	 0.063	-0.000
-5.398	 0.065	 1.410	-0.102	 0.125	 0.255	 0.046	-0.000
-7.364	-0.152	-0.008	-0.115	 0.063	 0.266	 0.044	-0.000
-3.173	 2.064	 0.407	-0.049	 0.042	-0.034	 0.003	-0.000
 0.069	-1.065	 0.677	-0.005	-0.202	 0.019	 0.021	-0.003
-8.598	 1.394	-0.767	-0.109	 0.109	-0.096	 0.017	-0.000
-0.005	-0.007	-0.018	 0.000	 0.000	 0.000	 0.000	-0.000
-17.504	 1.057	 0.704	-0.313	 0.497	 0.026	 0.173	-0.000
-4.174	 0.927	 1.546	-0.035	-0.009	-0.024	 0.001	-0.000
-6.792	 0.205	 0.670	-0.102	 0.211	 0.693	 0.268	-0.000
 2.867	-1.270	-1.471	 0.001	-0.005	-0.007	 0.000	-0.001
10.206	 0.047	 0.799	 0.144	 0.151	 0.202	 0.042	-0.000
-2.919	-0.439	-3.106	-0.059	-0.029	-0.079	 0.005	-0.000
 5.095	-0.698	 0.079	 0.064	-0.040	 0.009	 0.003	-0.000
-3.685	-1.228	-2.828	-0.045	-0.038	-0.059	 0.003	-0.000
-4.204	-0.797	 1.658	-0.062	-0.131	 0.020	 0.011	-0.000
-4.946	-0.123	 1.431	-0.098	 0.165	 0.401	 0.099	-0.000
 2.387	 0.789	-0.968	 0.021	 0.182	-0.094	 0.021	-0.001
 1.254	-1.553	 2.702	-0.006	-0.001	-0.004	 0.000	-0.001
-12.018	 0.199	 0.269	-0.162	 0.146	 0.387	 0.099	-0.000
-4.326	 1.222	-2.124	-0.044	-0.009	-0.045	 0.002	-0.000
18.758	 1.357	-0.625	 0.238	-0.010	-0.499	 0.153	-0.000
-11.032	 2.100	 0.868	-0.170	 0.099	-0.220	 0.044	-0.000
 1.445	-1.853	-1.534	-0.019	-0.032	-0.059	 0.002	-0.001
10.019	 0.240	-1.069	 0.178	 0.131	-0.724	 0.287	-0.000
14.066	 0.354	 1.053	 0.250	-0.109	 0.779	 0.341	-0.000
 0.185	 0.315	-3.430	-0.008	 0.003	-0.020	 0.000	-0.001
-3.608	-0.173	 2.912	-0.052	-0.012	-0.038	 0.002	-0.000
11.686	 0.490	 0.996	 0.212	 0.218	 0.767	 0.340	-0.000
 9.834	 0.518	 0.566	 0.143	 0.175	 0.269	 0.062	-0.000
 1.973	-0.206	-0.187	 0.033	-0.118	-0.336	 0.064	-0.001
-1.853	-2.555	 0.637	-0.057	-0.034	-0.050	 0.003	-0.001
-6.845	 0.123	 1.384	-0.081	-0.044	-0.016	 0.004	-0.000
-0.443	-0.552	-1.417	-0.049	-0.206	-1.159	 0.694	-0.031
-3.314	 1.047	-1.590	-0.003	-0.004	-0.001	 0.000	-0.000
 8.628	-0.028	 1.132	 0.117	 0.052	 0.170	 0.023	-0.000
 2.014	-0.178	 0.494	 0.083	-0.028	-0.573	 0.168	-0.001
-2.957	 2.294	 0.054	-0.001	-0.002	 0.001	 0.000	-0.000
10.171	 0.452	 0.668	 0.148	 0.384	 0.726	 0.348	-0.000
-2.523	 1.582	 1.647	-0.058	 0.053	-0.043	 0.004	-0.000
-12.123	 0.079	 0.058	-0.228	 0.061	 0.051	 0.029	-0.000
 5.714	-0.826	-0.106	 0.079	-0.061	 0.024	 0.005	-0.000
21.714	 0.036	-0.390	 0.296	-0.065	-0.168	 0.060	-0.000
20.545	 0.662	-0.319	 0.352	 0.137	 0.193	 0.090	-0.000
19.517	 0.300	 0.021	 0.261	 0.125	 0.096	 0.047	-0.000
 9.603	-0.417	-1.274	 0.136	 0.132	-0.229	 0.044	-0.000
-2.314	-0.380	-3.150	-0.044	-0.020	-0.060	 0.003	-0.000
-0.754	 0.850	 0.412	-0.106	 0.063	-0.318	 0.058	-0.002
-6.987	-0.071	 0.507	-0.097	 0.095	 0.354	 0.072	-0.000
 5.826	-0.186	 0.383	 0.071	 0.030	 0.032	 0.004	-0.000
 3.064	 0.278	 0.946	 0.028	 0.080	 0.131	 0.012	-0.000
 0.831	 2.223	-2.228	-0.009	 0.019	-0.021	 0.000	-0.000
 1.916	-1.181	-1.551	-0.006	-0.129	-0.884	 0.399	-0.001
20.303	-0.162	 0.453	 0.288	-0.192	 0.514	 0.192	-0.000
